license_number,application_number,business_name,my_business_name_sixletters,license_type,all_packets_submitted_dt,application_fee,lic_fee_amount,dbe,cnb_dt_of_final_licensure,approved_license_type,priority_type,application_status,row_ct,business_address_1,business_address_2,business_city,business_state,business_zipcode,my_business_zipcode,,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,dph_rmd_number,name_of_rmd,establishment_address_1,establishment_address_2,establishment_city,establishment_state,establishment_zip_code,establishment_county,square_footage_establishment,abutters_count,is_abutters_notified,massachusetts_business,dba_name,dba_registration_city,cooperative_total_canopy,cooperative_cultivation,cultivation_tier,establishment_activities,establishment_cultivation,app_create_date,my_longitude,latitude,my_latitude,longitude,disability_owned_business,lesbian_gay_bisexual_and_transgender_owned_business,minority_owned_business,veteran_owned_business,woman_owned_business,not_a_dbe,county_geocoded_column_1
MP281417,MPN281417,"Pioneer Valley Extracts, LLC",Pionee,Marijuana Product Manufacturer,,300,"5,000","Lesbian, Gay, Bisexual, and Transgender Owned Business | Woman-Owned Business",2/6/2020 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,43 Ladd Avenue,,Florence,MA,1062,01062,,43 Ladd Avenue,,Florence,MA,1062,,,43 Ladd Avenue,,Northampton,MA,1062,,"10,500",4,Yes,1294352,,,,,,,,6/23/2018 0:00,-72.66342399,(-72.66342399399997,42.31961328,42.319613282000034),,1,,,1,,
MR283220,MRN283220,"The Green Harbor Dispensary, LLC",The Gr,Marijuana Retailer,,"1,500","10,000",Minority-Owned Business,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,29 Abbey Lane,,Middleborough,MA,2346,02346,,29 Abbey Lane,,Middleborough,MA,2346,RMD-1305,"The Green Harbor Dispensary, LLC",1410 Bedford St.,,Abington,MA,2351,,"2,000",11,Yes,1303108,,,,,,,,1/7/2020 0:00,-70.95235524,(-70.95235524299994,42.14073059,42.14073059200007),,,1,,,,
MR282376,MRN282376,TDMA LLC,TDMA L,Marijuana Retailer,,300,"5,000",Not a DBE,4/9/2020 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,74 Grafton St,,Worcester,MA,1604,01604,,74 Grafton St.,,Worcester,MA,1604,,"New England Patient Network, Inc.",74 Grafton Street,,Worcester,MA,1604,,"4,650",37,Yes,1337438,Diem,Worcester,,,,,,2/7/2019 0:00,-71.79402388,(-71.79402388299997,42.25920662,42.25920661500004),,,,,,1,
MR281702,MRN281702,Good Chemistry of Mass,Good C,Marijuana Retailer,,300,"5,000",Not a DBE,2/21/2019 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,9 Harrison Street,,Worcester,MA,1604,01604,,1550 Larimer Street,296,Denver,CO,80202,A23846,"Good Chemistry of Massachusetts, Inc.",9 Harrison Street,,Worcester,MA,1604,,"3,112",55,Yes,1315096,,,,,,,,7/11/2018 0:00,-71.79712024,(-71.79712024099996,42.25715079,42.25715078500008),,,,,,1,
MP281894,MPN281894,7LEAF GARDENS LLC,7LEAF ,Marijuana Product Manufacturer,,"1,500",0,Not a DBE,,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,370 Wareham St,,Middleborough,MA,2346,02346,,1120 Somerset Avenue        PO BOX 401,,North Dighton,MA,2764,,,"Charlotte Court, Bldg 2, Lot 2a","41.857419,-70.8660704",Middleborough,MA,2346,,"10,000",40,Yes,1428932,,,,,,,,6/4/2020 0:00,-70.89026844,(-70.89026844199998,41.88532555,41.885325548000026),,,,,,1,
MR283033,MRN283033,"Major Bloom, LLC",Major ,Marijuana Retailer,,300,"5,000",Not a DBE,,PROVISIONAL LICENSE,ECONOMIC EMPOWERMENT,APPROVED,1,76 Millbury Street,,Worcester,MA,1610,01610,,50 Loring St.,,Hyde Park,MA,2136,,,76 Millbury St.,,Worcester,MA,1610,,"5,000",43,Yes,1314520,,,,,,,,10/6/2019 0:00,-71.79904741,(-71.79904740899997,42.25330714,42.253307138000025),,,,,,1,
MP281630,MPN281630,"Holistic Industries, Inc.",Holist,Marijuana Product Manufacturer,,300,"10,000",Not a DBE,11/19/2020 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,96 Palmer Road,,Monson,MA,1057,01057,,1900 West Park Drive,Suite 280,Westborough,MA,1581,35,"Holistic Industries, Inc.",96 Palmer Road,,Monson,MA,1057,,"56,623",3,Yes,1176982,,,,,,,,3/27/2019 0:00,-72.30926668,(-72.30926667899996,42.12299151,42.12299151000008),,,,,,1,
MR282937,MRN282937,"Legal Greens, LLC",Legal ,Marijuana Retailer,,0,"5,000",Minority-Owned Business | Woman-Owned Business,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,73-75 Pleasant St,,Brockton,MA,2301,02301,,"71 Legion Pkwy, suite 25",,Brockton,MA,2301,,,73-75 Pleasant Street,,Brockton,MA,2301,,"2,300",21,Yes,1330381,,Brockton,,,,,,8/17/2019 0:00,-71.02219108,(-71.02219108099996,42.08579941,42.085799413000075),,,1,,1,,
MP281314,MPN281314,T. Bear Inc.,T. Bea,Marijuana Product Manufacturer,,300,"5,000",Not a DBE,1/16/2020 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,3103 Cranberry Hwy,,East Wareham,MA,2538,02538,,PO Box 786,,E. Wareham,MA,2538,,,3103 Cranberry HIghway,,Wareham,MA,2538,,"8,500",11,Yes,1300839,,,,,,,,4/24/2018 0:00,-70.64425383,(-70.64425383299994,41.75561961,41.755619609000064),,,,,,1,
MP281689,MPN281689,Four Score Holdings LLC,Four S,Marijuana Product Manufacturer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,144 Sturbridge Road,,Charlton,MA,1507,01507,,144 Sturbridge Road,,Charlton,MA,1507,,,144 Sturbridge Road,,Charlton,MA,1507,,"20,960",10,Yes,1311831,,,,,,,,6/5/2019 0:00,-72.01981006,(-72.01981005799996,42.13908426,42.13908426100005),,,,,,1,
MR282062,MRN282062,"Mass Alternative Care, Inc.",Mass A,Marijuana Retailer,,300,"10,000",Not a DBE,8/6/2020 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,55 University Drive,,Amherst,MA,1002,01002,,1247 East Main Street,,Chicopee,MA,1020,31,"Mass Alternative Care, Inc.",55 University Drive,,Amherst,MA,1002,,"4,400",10,Yes,1302536,,,,,,,,11/19/2018 0:00,-72.53352902,(-72.53352902499995,42.37199334,42.37199333600006),,,,,,1,
MC281922,MCN281922,"Commonwealth Farm 1761, Inc.",Common,Marijuana Cultivator,,"2,000","50,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,"600 Worcester Road, Suite 401",,Framingham,MA,1702,01702,,"600 Worcester Road, Suite 401",,Framingham,MA,1702,,,1062 Edmands Road,,Framingham,MA,1701,,"450,000",46,Yes,1352191,,,,,"Tier 11: 90,001 to 100,000 sq. ft",,,1/12/2019 0:00,-71.48129809,(-71.48129809299996,42.32915196,42.329151962000026),,,,,,1,
MR283723,MRN283723,Local Roots NE Inc.,Local ,Marijuana Retailer,,"1,500",0,Not a DBE,,PROVISIONAL CONSIDERATION,RMD PRIORITY,APPROVED,1,"910 Boston Post Rd., Ste #100",,Marlboro,MA,1752,01752,,"910 Boston Post Rd., Ste.#310",,Marlboro,MA,1752,,,910 Boston Post Rd. Ste.#100,,Marlborough,MA,1752,,"2,000",30,Yes,1380387,,,,,,,,8/5/2020 0:00,-71.49274484,(-71.49274483899995,42.35110454,42.351104544000066),,,,,,1,
MC282524,MCN282524,Ten-Ten LLC,Ten-Te,Marijuana Cultivator,,600,"5,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,775 N. Main St,,Sheffield,MA,1257,01257,,54 Nelson Ave Ext,,Saratoga Springs,NY,12866,,,775 N. Main St,,Sheffield,MA,1257,,"6,000",10,Yes,1347065,,,,,"Tier 03: 10,001 to 20,000 sq. ft",,,12/4/2019 0:00,-73.36138328,(-73.36138328199996,42.12571047,42.12571047300003),,,,,,1,
MC282106,MCN282106,"United Cultivation, LLC",United,Marijuana Cultivator,,600,"20,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,601-603 Fitchburg State Road,,Ashby,MA,1431,01431,,PO Box 966,,Groton,MA,1450,,,601-603 Fitchburg State Road,,Ashby,MA,1431,,"27,000",10,Yes,1357059,,,,,"Tier 04: 20,001 to 30,000 sq. ft",,,4/23/2019 0:00,-71.7916347,(-71.79163470499998,42.64798376,42.647983759000056),,,,,,1,
MR282803,MRN282803,"Cypress Tree Management, Inc.",Cypres,Marijuana Retailer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,419 Boylston Street,Suite 300,Boston,MA,2116,02116,,419 Boylston Street,Suite 300,Boston,MA,2116,,"Cypress Tree Management, Inc.",24-26 Elliot Street,,Newton,MA,2461,,"8,100",51,Yes,1351763,,,,,,,,6/21/2019 0:00,-71.21241435,(-71.21241434999996,42.31794586,42.317945860000066),,,,,,1,
MC282541,MCN282541,"Grow Rite, LLC",Grow R,Marijuana Cultivator,,200,"1,250",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,162 Milford St.,,Upton,MA,1568,01568,,9 Freeland St,UNIT 1 L,Worcester,MA,1603,,,162 Milford St,,Upton,MA,1568,,"3,500",11,Yes,1364950,,,,,,,,12/18/2019 0:00,-71.5829171,(-71.58291710099996,42.16083413,42.160834126000054),,,,,,1,
MC281258,MCN281258,"253 Organic, LLC",253 Or,Marijuana Cultivator,,600,"7,500",Not a DBE,11/7/2019 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,253 Millers Falls Road,,Turners Falls,MA,1376,01376,,PO Box 253,,Turners Falls,MA,1376,,,253 Millers Falls Road,P.O. Box 253,Montague,MA,1376,,"28,000",16,Yes,1317748,,,,,"Tier 04: 20,001 to 30,000 sq. ft",,,4/17/2018 0:00,-72.52730613,(-72.52730613199998,42.59028978,42.590289778000056),,,,,,1,
MR283727,MRN283727,Littleton Apothecary LLC,Little,Marijuana Retailer,,"1,500","10,000",Woman-Owned Business,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,"160 Ayer Road, Suite 4",,Littleton,MA,1460,01460,,43 Starr Hill,,Littleton,MA,1460,,,"160 Ayer Road, Suite 4",,Littleton,MA,1460,,"3,388",10,Yes,1376976,,,,,,,,8/6/2020 0:00,-71.52176282,(-71.52176281999994,42.54837859,42.54837858600007),,,,,1,,
MC281478,MCN281478,"Hope Heal Health, Inc.",Hope H,Marijuana Cultivator,,600,"7,500",Not a DBE,12/19/2019 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,100 Summer Street,,Boston,MA,2110,02110,,1 West St.,,Fall River,MA,2720,PCR Only,"Cresco HHH, LLC",1 West Street,,Fall River,MA,2720,,"135,763",9,Yes,1350877,Sunnyside,Fall River,,,"Tier 04: 20,001 to 30,000 sq. ft",,,5/24/2018 0:00,-71.1455359,(-71.14553589899998,41.72759425,41.72759425400005),,,,,,1,
MR281427,MRN281427,"The Green Lady Dispensary, Inc.",The Gr,Marijuana Retailer,,300,"5,000",Not a DBE,6/27/2019 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,11 Amelia Drive,,Nantucket,MA,2554,02554,,11 Amelia Drive,,Nantucket,MA,2554,,"The Green Lady Dispensary, Inc.",11 Amelia Drive,,Nantucket,MA,2554,,"7,600",3,Yes,1331160,,,,,,,,5/15/2018 0:00,-70.0860055,(-70.08600550199998,41.26657864,41.26657864100008),,,1,,,,
MP281748,MPN281748,RAIN CITY FARMING L.L.C.,RAIN C,Marijuana Product Manufacturer,,300,0,Not a DBE | Minority-Owned Business,,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,35-45 LIMESTONE ROAD,,LEE,MA,1238,01238,,78-5 SOUTH QUINSIGAMOND AVENUE,,Shrewsbury,MA,1545,,,35-45 LIMESTONE ROAD,,Lee,MA,1238,,"3,492",7,Yes,1313546,,Shrewsbury,,,,,,8/21/2019 0:00,-73.25371103,(-73.25371102999998,42.28389166,42.28389165500005),,,1,,,1,
MP281346,MPN281346,"M3 Ventures, Inc.",M3 Ven,Marijuana Product Manufacturer,,300,"5,000",Not a DBE,9/13/2019 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,9 Collins Avenue,,Plymouth,MA,2360,02360,,9 Collins Avenue,,Plymouth,MA,2360,RMD 18 and RMD 29,"M3 Ventures, Inc.",9 Collins Avenue,,Plymouth,MA,2360,,"46,000",11,Yes,1102121,Triple M,,,,,,,5/16/2018 0:00,-70.69127882,(-70.69127882399994,41.96038728,41.960387282000056),,,,,,1,
MR282334,MRN282334,Greenhouse Naturals LLC,Greenh,Marijuana Retailer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,80A Lawrence Road,,Boxford,MA,1921,01921,,80A Lawrence Road,,Boxford,MA,1921,,,11-23 Enon Street,,Beverly,MA,1915,,"2,700",52,Yes,1348475,,,,,,,,1/25/2019 0:00,-70.88405874,(-70.88405874099993,42.58422681,42.58422681300004),,,,,,1,
MR281597,MRN281597,Tree Market Taunton LLC,Tree M,Marijuana Retailer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,7613 Overlake Drive W,,Medina,WA,98039,,,7613 Overlake Drive W,,Medina,WA,98039,,,9 Cape Road,,Taunton,MA,2780,,"3,058",8,Yes,1378785,,Boston,,,,,,6/14/2018 0:00,-71.06713644,(-71.06713643799998,41.90545925,41.90545924600008),,,,,,1,
MP281763,MPN281763,"Green Meadows Farm, LLC",Green ,Marijuana Product Manufacturer,,"1,500","10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,PO Box 2249,,Hamilton,MA,1982,01982,,PO Box 829,,Southbridge,MA,1550,PCR Only,"Green Meadows Farm, LLC",64 Mill Street,1st Floor,Southbridge,MA,1550,,"5,000",84,Yes,1311857,,,,,,,,9/25/2019 0:00,-72.04225671,(-72.04225671099994,42.08314545,42.08314545100007),,,,,,1,
MC281814,MCN281814,4Bros Inc,4Bros ,Marijuana Cultivator,,600,0,Not a DBE,,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,630 Beaulieu Street,,Holyoke,MA,1040,01040,,630 Beaulieu St,,Holyoke,MA,1040,RMD1325,4Bros Inc,630 Beaulieu Street,,Holyoke,MA,1040,,"31,500",9,Yes,1283676,East Coast Pharms,Hampden,,,"Tier 05: 30,001 to 40,000 sq. ft",,,11/26/2018 0:00,-72.61703717,(-72.61703717199998,42.19219795,42.19219795100003),,,,,,1,
MR282460,MRN282460,Hyecorp LLC,Hyecor,Marijuana Retailer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,327 N. Pearl Street,,Brockton,MA,2301,02301,,327 N Pearl St,,Brockton,MA,2301,,,327 North Pearl Street,,Brockton,MA,2301,,"2,880",10,Yes,1366749,Green4All,Brockton,,,,,,3/3/2019 0:00,-71.06652816,(-71.06652816299999,42.10048086,42.10048086100005),,,,,,1,
MC281550,MCN281550,Temescal Wellness of Massachusetts,Temesc,Marijuana Cultivator,,400,"2,500",Not a DBE,1/10/2019 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,141 SW Cutoff,,Worcester,MA,1604,01604,,665 Cochituate Road,2nd Floor,Framingham,MA,1701,38,"Temescal Wellness of Massachusetts (""Temescal Wellness - Worcester"")",141 SW Cutoff,,Worcester,MA,1604,,"18,500",10,Yes,462527018,,,,,"Tier 02: 5,001 to 10,000 sq. ft.",,,6/13/2018 0:00,-71.75108909,(-71.75108909199997,42.23271548,42.23271548400004),,,,,,1,
MR283367,MRN283367,"New England Craft Cultivators, LLC",New En,Marijuana Retailer,,"1,500","10,000","Lesbian, Gay, Bisexual, and Transgender Owned Business",,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,12 Robeson Street,,Jamaica Plain,MA,2130,02130,,113 George Street,,Boston,MA,2119,,,112-114 Main Street,Unit #1,Pepperell,MA,1463,,"1,050",19,Yes,1380107,"New England Craft Cultivators, LLC",Boston,,,,,,3/17/2020 0:00,-71.57860503,(-71.57860503099994,42.66518146,42.66518145500004),,1,,,,,
MP281634,MPN281634,"Ganesh Wellness, Inc.",Ganesh,Marijuana Product Manufacturer,,300,"10,000",Minority-Owned Business | Woman-Owned Business,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,50 Congress St. Suite 420,,Boston,MA,2109,02109,,65 West Boylston St,,West Boylston,MA,1583,,,65 West Boylston Street,,West Boylston,MA,4420,,"4,420",43,Yes,1312677,,,,,,,,4/1/2019 0:00,-71.78338138,(-71.78338138,42.3586501,42.35865010100008),,,1,,1,,
IL281275,ILN281275,"CDX Analyticc, LLC",CDX An,Independent Testing Laboratory,,300,"5,000",Not a DBE,10/18/2018 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,39 Norman Street,,Salem,MA,1970,01970,,39 Norman Street,,Salem,MA,1970,2,"CDX Analytics, LLC",39 Norman Street,,Salem,MA,1970,,"1,600",191,Yes,1197301,,Salem,,,,,,5/22/2018 0:00,-70.89812559,(-70.89812558699998,42.51976206,42.51976205600005),,,,,,1,
MP281766,MPN281766,Hennep Cultivation LLC,Hennep,Marijuana Product Manufacturer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,160 Grove Street,,Franklin,MA,2038,02038,,1330 Boylston Street,Unit 202,Boston,MA,2215,,,160 Grove Street,,Franklin,MA,2038,,"60,000",14,Yes,1375984,,,,,,,,9/27/2019 0:00,-71.42267003,(-71.42267003299997,42.07021758,42.07021758100007),,,,,,1,
MR282562,MRN282562,"Lazy River Products, LLC",Lazy R,Marijuana Retailer,,300,"10,000",Not a DBE,1/14/2021 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,145 Broadway Rd,,Dracut,MA,1826,01826,,155 Broadway Rd,Ste. 5,Dracut,MA,1826,,,"145 Broadway Rd Dracut, MA 01826",,Dracut,MA,1826,,"35,000",112,Yes,1362915,Lazy River Products,Dracut,,,,,,4/2/2019 0:00,-71.29398485,(-71.29398485199994,42.67537004,42.67537003500008),,,,,,1,
MR281362,MRN281362,"Cannabis Connection, Inc",Cannab,Marijuana Retailer,,300,"10,000",Not a DBE,4/9/2020 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,40 Westfield Industrial Park,,Westfield,MA,1085,01085,,40 Westfield Industrial Park,,Westfield,MA,1085,,,40 Westfield Industrial Park,,Westfield,MA,1085,,"4,500",2,Yes,1342851,,,,,,,,5/1/2018 0:00,-72.73080214,(-72.73080214299995,42.14161168,42.14161167700007),,,,,,1,
MC281775,MCN281775,"1620 Labs, LLC",1620 L,Marijuana Cultivator,,600,"5,000","Lesbian, Gay, Bisexual, and Transgender Owned Business",,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,503 South Street,,Athol,MA,1331,01331,,P.O. Box 480,,Athol,MA,1331,,,503 South Street,,Athol,MA,1331,,"20,000",6,Yes,1324893,,,,,"Tier 03: 10,001 to 20,000 sq. ft",,,10/27/2018 0:00,-72.23100124,(-72.23100124499996,42.5920048,42.59200480000004),,1,,,,,
MC282183,MCN282183,"Lifted Genetics, LLC",Lifted,Marijuana Cultivator,,400,"2,500",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,42 Holliston St,,Medway,MA,2053,02053,,42 Holliston St,,Medway,MA,2053,,,6 Condon Way,,Hopedale,MA,1747,,"15,000",24,Yes,1330553,,Medway,,,"Tier 02: 5,001 to 10,000 sq. ft.",,,6/3/2019 0:00,-71.51694473,(-71.51694473399994,42.10372089,42.103720886000076),,,,,,1,
MC281370,MCN281370,"1620 Labs, LLC",1620 L,Marijuana Cultivator,,200,"1,250","Lesbian, Gay, Bisexual, and Transgender Owned Business",3/5/2020 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,1 Exchange Street,,Athol,MA,1331,01331,,P.O. Box 480,,Athol,MA,1331,,,1 Exchange Street,,Athol,MA,1331,,"4,832",4,Yes,1324893,,Athol,,,"Tier 01: up to 5,000 square feet",,,5/2/2018 0:00,-72.23038517,(-72.23038517499998,42.59208933,42.592089331000075),,1,,,,,
MR281471,MRN281471,"Atlantic Medicinal Partners, Inc.",Atlant,Marijuana Retailer,,300,"5,000",Not a DBE,6/4/2020 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,329 Washington Street,,Woburn,MA,1801,01801,,774 Crawford Street,,Fitchburg,MA,1420,,"Atlantic Medicinal Partners, Inc.",774 Crawford Street,,Fitchburg,MA,1420,,"50,000",73,Yes,1338407,,,,,,,,5/23/2018 0:00,-71.74930727,(-71.74930726699995,42.55040516,42.55040516300006),,,,,,1,
MR281793,MRN281793,Green Biz LLC,Green ,Marijuana Retailer,,300,"5,000",Minority-Owned Business,2/6/2020 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,34 Bridge St,,Northampton,MA,1060,01060,,34 Bridge St,,Northampton,MA,1060,,,34 Bridge St,,Northampton,MA,1060,,"1,700",34,Yes,1319829,Jack's Cannabis Company,Northampton,,,,,,8/11/2018 0:00,-72.6281447,(-72.62814470199999,42.32167401,42.321674005000034),,,1,,,,
MP281838,MPN281838,"Columbia Growth, Inc.",Columb,Marijuana Product Manufacturer,,"1,500",0,Not a DBE,,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,157 Columbia Street,,Lee,MA,1238,01238,,157 Columbia Street,,Lee,MA,1238,,,157 Columbia Street,,Lee,MA,1238,,"16,000",17,Yes,1391384,,,,,,,,2/1/2020 0:00,-73.24709964,(-73.24709963699996,42.31627908,42.31627907700005),,,,,,1,
MC282059,MCN282059,Mederi Inc.,Mederi,Marijuana Cultivator,,400,"2,500",Not a DBE,2/11/2021 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,44 Boynton Road,,Holliston,MA,1746,01746,,44 Boynton Road,,Holliston,MA,1746,,,44 Boynton Road,,Holliston,MA,1746,,"15,580",8,Yes,1299965,,,,,"Tier 02: 5,001 to 10,000 sq. ft.",,,3/28/2019 0:00,-71.46229724,(-71.46229723999994,42.16239266,42.162392657000055),,,,,,1,
MP281802,MPN281802,Aspen Blue Cultures Inc.,Aspen ,Marijuana Product Manufacturer,,"1,500","10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,40 Forest Street,,Attleboro,MA,2703,02703,,72 Pine Street,,Providence,RI,2903,,,40 Forest Street,,Attleboro,MA,2703,,"66,000",58,Yes,1356119,Terps,,,,,,,11/26/2019 0:00,-71.27418135,(-71.27418134899995,41.94566967,41.94566966600007),,,,,,1,
MC281702,MCN281702,"Two Buds, LLC",Two Bu,Marijuana Cultivator,,600,"5,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,One Liberty Square,Suite 410,Boston,MA,2109,02109,,One Liberty Square,Suite 410,Boston,MA,2109,,,53 Air Station Industrial Park,,Rockland,MA,2370,,"36,480",12,Yes,1341691,Partake,Boston,,,"Tier 03: 10,001 to 20,000 sq. ft",,,9/6/2018 0:00,-70.91077716,(-70.91077716199999,42.16054979,42.16054979300004),,,,,,1,
MR281735,MRN281735,"202 Trading Company, Inc. d/b/a Bud Barn",202 Tr,Marijuana Retailer,,300,"10,000",Woman-Owned Business,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,682 Spring Street,,Winchendon,MA,1475,01475,,25 Palmer Rd.,,Framingham,MA,1702,,,682 Spring Street,,Winchendon,MA,1475,,"2,500",9,Yes,1432238,Bud Barn,Winchendon,,,,,,7/22/2018 0:00,-72.00857537,(-72.00857537399997,42.66638992,42.666389915000025),,,,,1,,
MC282733,MCN282733,Spencer House LLC,Spence,Marijuana Cultivator,,200,0,Woman-Owned Business,,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,215 Johnson Hill Road,,Washington,MA,1223,01223,,215 Johnson Hill Road,,Washington,MA,1223,,,1 Bay State Drive,18 Bay State Drive,Chester,MA,1011,,"12,500",7,Yes,1229169,Grow Chester,Chester,,,,,,4/9/2020 0:00,-72.97256372,(-72.97256372499999,42.27625067,42.276250670000024),,,,,1,,
MR282667,MRN282667,"Holistic Industries, Inc.",Holist,Marijuana Retailer,,300,"10,000",Not a DBE,10/8/2020 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,1300 Boston Road,,Springfield,MA,1119,01119,,"1900 West Park Drive, Suite 280",,Westborough,MA,1581,35,"Holistic Industries, Inc.",1300 Boston Road,,Springfield,MA,1119,,"3,218",5,Yes,1176982,Liberty Cannabis,Somerville,,,,,,5/1/2019 0:00,-72.50044037,(-72.50044037199996,42.14126733,42.141267328000026),,,,,,1,
MR283652,MRN283652,"208 Worcester Street, LLC",208 Wo,Marijuana Retailer,,"1,500","10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,208 Worcester Street,,Southbridge,MA,1550,01550,,208 Worcester Street,,Southbridge,MA,1550,,,208 Worcester Street,,Southbridge,MA,1550,,"1,300",16,Yes,1423236,,,,,,,,7/9/2020 0:00,-72.02660141,(-72.02660141099994,42.08367225,42.08367225300003),,,,,,1,
MP281591,MPN281591,Solurge Inc.,Solurg,Marijuana Product Manufacturer,,300,0,Not a DBE,,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,650 Beaulieu St,,Holyoke,MA,1040,01040,,39 Whittemore Road,,Newton,MA,2458,PCR Issued,Solurge Inc,650 Beaulieu Street,,Holyoke,MA,1040,,"27,000",3,Yes,1317351,,,,,,,,2/1/2019 0:00,-72.61764595,(-72.61764594899995,42.19169973,42.19169973000004),,,,,,1,
MC282081,MCN282081,berkley botanicals llc,berkle,Marijuana Cultivator,,400,"2,500",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,44 county street,,berkley,MA,2779,02779,,13 bay road,,warren,RI,2885,,,44 county street,,Berkley,MA,2779,,"24,000",12,Yes,1363351,,,,,"Tier 02: 5,001 to 10,000 sq. ft.",,,4/5/2019 0:00,-71.01924501,(-71.01924500899997,41.84231762,41.84231761500007),,,,,,1,
MC282690,MCN282690,Cannatech Medicinals Inc.,Cannat,Marijuana Cultivator,,400,"2,500",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,33 Union Street,Suite 2,Boston,MA,2108,02108,,33 Union Street,Suite 2,Boston,MA,2108,Provisional MTC License Only,Cannatech Medicinals Inc.,1100 Innovation Way,FKA Lot 183,Fall River,MA,2722,,"30,000",5,Yes,1187545,,,,,,,,3/16/2020 0:00,-71.09629185,(-71.09629184899995,41.75597755,41.755977545000064),,,,,,1,
MR283092,MRN283092,"Elevated Roots, LLC",Elevat,Marijuana Retailer,,"1,500","10,000",Minority-Owned Business,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,44 William C. Gould Jr. Way,,Kingston,MA,2364,02364,,44 William C. Gould Jr. Way,,Kingston,MA,2364,,,44 William C. Gould Jr. Way,,Kingston,MA,2364,,"4,050",8,Yes,1363380,,,,,,,,10/30/2019 0:00,-70.70644713,(-70.70644713499996,41.97202903,41.97202903300007),,,1,,,,
